2022-01-26 08:20:25.514+10:00 | vert.x-eventloop-thread-1 | INFO  | PeerDiscoveryAgent | Writing node record to disk. NodeRecord{seq=2, publicKey=0x030b384cd0f14a487b11525205b9542f4dae3e2c573be1148432cb6e84209c1b38, udpAddress=Optional[/127.0.0.1:30303], tcpAddress=Optional[/127.0.0.1:30303], asBase64=-Je4QKHupBzi1rzWEFKiPsXyHDMvU_5FjBhxJuGGPaOfbIs3EMTXb_1GDugcNQcR4nFfhLkA935F-eAIJ80n_fKD5ssCg2V0aMfGhNUDzhuAgmlkgnY0gmlwhH8AAAGJc2VjcDI1NmsxoQMLOEzQ8UpIexFSUgW5VC9Nrj4sVzvhFIQyy26EIJwbOIN0Y3CCdl-DdWRwgnZf, nodeId=0x7d11ae8d9273295f08bcda2cfd693dfce3469c8123ac8a2380c8fef942ee7179, customFields={tcp=30303, udp=30303, ip=0x7f000001, eth=[[0xd503ce1b, 0x]], id=V4, secp256k1=0x030b384cd0f14a487b11525205b9542f4dae3e2c573be1148432cb6e84209c1b38}}
2022-01-26 08:20:25.534+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Start peer search.
2022-01-26 08:20:25.535+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Initiating bonding round with 1 candidates
2022-01-26 08:20:25.550+10:00 | main | INFO  | DefaultP2PNetwork | Enode URL enode://0b384cd0f14a487b11525205b9542f4dae3e2c573be1148432cb6e84209c1b3869cf83854c841456e8f98dc611f3f89e3fed18a7dd1862c5540bccb970813d73@127.0.0.1:30303
2022-01-26 08:20:25.550+10:00 | main | INFO  | DefaultP2PNetwork | Node address 0xfd693dfce3469c8123ac8a2380c8fef942ee7179
2022-01-26 08:20:25.551+10:00 | main | INFO  | DefaultSynchronizer | Starting synchronizer.
2022-01-26 08:20:25.552+10:00 | main | INFO  | FullSyncDownloader | Starting full sync.
2022-01-26 08:20:25.554+10:00 | main | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 0
2022-01-26 08:20:25.556+10:00 | main | DEBUG | WaitForPeerTask | Waiting for new peer connection. 0 peers currently connected.
2022-01-26 08:20:25.560+10:00 | vert.x-eventloop-thread-1 | DEBUG | AbstractByteBuf | -Dio.netty.buffer.checkAccessible: true
2022-01-26 08:20:25.560+10:00 | vert.x-eventloop-thread-1 | DEBUG | AbstractByteBuf | -Dio.netty.buffer.checkBounds: true
2022-01-26 08:20:25.561+10:00 | vert.x-eventloop-thread-1 | DEBUG | ResourceLeakDetectorFactory | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@774542d6
2022-01-26 08:20:25.565+10:00 | main | INFO  | Runner | Ethereum main loop is up.
2022-01-26 08:20:25.567+10:00 | vert.x-eventloop-thread-1 | DEBUG | Recycler | -Dio.netty.recycler.maxCapacityPerThread: 4096
2022-01-26 08:20:25.567+10:00 | vert.x-eventloop-thread-1 | DEBUG | Recycler | -Dio.netty.recycler.ratio: 8
2022-01-26 08:20:25.567+10:00 | vert.x-eventloop-thread-1 | DEBUG | Recycler | -Dio.netty.recycler.chunkSize: 32
2022-01-26 08:20:25.579+10:00 | vert.x-worker-thread-1 | DEBUG | PingPacketData | read PING enr as long scalar
2022-01-26 08:20:27.553+10:00 | vert.x-worker-thread-3 | DEBUG | PingPacketData | read PING enr as long scalar
2022-01-26 08:20:30.076+10:00 | vert.x-worker-thread-4 | DEBUG | PingPacketData | read PING enr as long scalar
2022-01-26 08:20:30.091+10:00 | vert.x-worker-thread-7 | DEBUG | PingPacketData | read PING enr as long scalar
2022-01-26 08:20:30.092+10:00 | vert.x-worker-thread-7 | DEBUG | PongPacketData | read PONG enr from scalar
2022-01-26 08:20:30.144+10:00 | nioEventLoopGroup-3-1 | DEBUG | HandshakeHandlerOutbound | Wrote initial crypto handshake message to /127.0.0.1:40404.
2022-01-26 08:20:30.233+10:00 | nioEventLoopGroup-3-1 | DEBUG | RlpxAgent | Outbound connection established to peer: 0x2d74dd39360f37a29585c0fac62979f77403037cda9f66d364955d222b73550f89260a35654c003669bd8de1095a22898cea68ddab96e745c94dc9b2533643fe
2022-01-26 08:20:30.235+10:00 | nioEventLoopGroup-3-2 | DEBUG | RlpxAgent | Duplicate connection detected, disconnecting inbound connection in favor of previously established connection for peer:  0x2d74dd39360f37a29585c0fac62979f77403037cda9f66d364955d222b73550f89260a35654c003669bd8de1095a22898cea68ddab96e745c94dc9b2533643fe
2022-01-26 08:20:30.242+10:00 | nioEventLoopGroup-3-2 | DEBUG | EthProtocolManager | Disconnect - Outbound - 0x05 ALREADY_CONNECTED - PeerInfo{version=5, clientId='besu/v22.1.0-RC2-dev-2786ce91/osx-x86_64/oracle_openjdk-java-11', capabilities=[eth/62, eth/63, eth/64, eth/65, eth/66, IBF/1], port=40404, nodeId=0x2d74dd39360f37a29585c0fac62979f77403037cda9f66d364955d222b73550f89260a35654c003669bd8de1095a22898cea68ddab96e745c94dc9b2533643fe} - 0 peers left
2022-01-26 08:20:30.242+10:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Sending status message to Peer 0x2d74dd39360f37a295....
2022-01-26 08:20:30.487+10:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Received status message from Peer 0x2d74dd39360f37a295...: org.hyperledger.besu.ethereum.eth.messages.StatusMessage@1c17bb73
