2022-01-26 08:20:30.032+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Start peer search.
2022-01-26 08:20:30.033+10:00 | vert.x-eventloop-thread-1 | DEBUG | RecursivePeerRefreshState | Initiating bonding round with 1 candidates
2022-01-26 08:20:30.048+10:00 | main | INFO  | DefaultP2PNetwork | Enode URL enode://2d74dd39360f37a29585c0fac62979f77403037cda9f66d364955d222b73550f89260a35654c003669bd8de1095a22898cea68ddab96e745c94dc9b2533643fe@127.0.0.1:40404
2022-01-26 08:20:30.049+10:00 | main | INFO  | DefaultP2PNetwork | Node address 0xe2a1f69923623ece7bffa9da915ef10f45f53b84
2022-01-26 08:20:30.050+10:00 | main | INFO  | DefaultSynchronizer | Starting synchronizer.
2022-01-26 08:20:30.051+10:00 | main | INFO  | FullSyncDownloader | Starting full sync.
2022-01-26 08:20:30.054+10:00 | main | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 0
2022-01-26 08:20:30.056+10:00 | main | DEBUG | WaitForPeerTask | Waiting for new peer connection. 0 peers currently connected.
2022-01-26 08:20:30.061+10:00 | vert.x-eventloop-thread-1 | DEBUG | AbstractByteBuf | -Dio.netty.buffer.checkAccessible: true
2022-01-26 08:20:30.061+10:00 | vert.x-eventloop-thread-1 | DEBUG | AbstractByteBuf | -Dio.netty.buffer.checkBounds: true
2022-01-26 08:20:30.061+10:00 | vert.x-eventloop-thread-1 | DEBUG | ResourceLeakDetectorFactory | Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@210c33a3
2022-01-26 08:20:30.066+10:00 | main | INFO  | Runner | Ethereum main loop is up.
2022-01-26 08:20:30.069+10:00 | vert.x-eventloop-thread-1 | DEBUG | Recycler | -Dio.netty.recycler.maxCapacityPerThread: 4096
2022-01-26 08:20:30.069+10:00 | vert.x-eventloop-thread-1 | DEBUG | Recycler | -Dio.netty.recycler.ratio: 8
2022-01-26 08:20:30.069+10:00 | vert.x-eventloop-thread-1 | DEBUG | Recycler | -Dio.netty.recycler.chunkSize: 32
2022-01-26 08:20:30.086+10:00 | vert.x-worker-thread-1 | DEBUG | PingPacketData | read PING enr as long scalar
2022-01-26 08:20:30.087+10:00 | vert.x-worker-thread-1 | DEBUG | PongPacketData | read PONG enr from scalar
2022-01-26 08:20:30.104+10:00 | vert.x-worker-thread-4 | DEBUG | PongPacketData | read PONG enr from scalar
2022-01-26 08:20:30.166+10:00 | nioEventLoopGroup-3-1 | DEBUG | HandshakeHandlerOutbound | Wrote initial crypto handshake message to /127.0.0.1:30303.
2022-01-26 08:20:30.234+10:00 | nioEventLoopGroup-3-1 | DEBUG | RlpxAgent | Outbound connection established to peer: 0x0b384cd0f14a487b11525205b9542f4dae3e2c573be1148432cb6e84209c1b3869cf83854c841456e8f98dc611f3f89e3fed18a7dd1862c5540bccb970813d73
2022-01-26 08:20:30.237+10:00 | nioEventLoopGroup-3-2 | DEBUG | RlpxAgent | Duplicate connection detected, disconnecting previously established connection in favor of new inbound connection for peer:  0x0b384cd0f14a487b11525205b9542f4dae3e2c573be1148432cb6e84209c1b3869cf83854c841456e8f98dc611f3f89e3fed18a7dd1862c5540bccb970813d73
2022-01-26 08:20:30.242+10:00 | nioEventLoopGroup-3-2 | DEBUG | EthProtocolManager | Disconnect - Outbound - 0x05 ALREADY_CONNECTED - PeerInfo{version=5, clientId='besu/v22.1.0-RC2-dev-2786ce91/osx-x86_64/oracle_openjdk-java-11', capabilities=[eth/62, eth/63, eth/64, eth/65, eth/66, IBF/1], port=30303, nodeId=0x0b384cd0f14a487b11525205b9542f4dae3e2c573be1148432cb6e84209c1b3869cf83854c841456e8f98dc611f3f89e3fed18a7dd1862c5540bccb970813d73} - 0 peers left
2022-01-26 08:20:30.242+10:00 | nioEventLoopGroup-3-1 | DEBUG | EthProtocolManager | Sending status message to Peer 0x0b384cd0f14a487b11....
2022-01-26 08:20:30.245+10:00 | nioEventLoopGroup-3-2 | DEBUG | EthProtocolManager | Sending status message to Peer 0x0b384cd0f14a487b11....
2022-01-26 08:20:30.486+10:00 | nioEventLoopGroup-3-2 | DEBUG | EthProtocolManager | Received status message from Peer 0x0b384cd0f14a487b11...: org.hyperledger.besu.ethereum.eth.messages.StatusMessage@1c17bb73
2022-01-26 08:20:30.488+10:00 | nioEventLoopGroup-3-2 | DEBUG | ChainHeadTracker | Requesting chain head info for Peer 0x0b384cd0f14a487b11...
2022-01-26 08:20:30.491+10:00 | nioEventLoopGroup-3-2 | DEBUG | GetHeadersFromPeerByHashTask | Requesting 1 headers from peer Peer 0x0b384cd0f14a487b11....
2022-01-26 08:20:30.495+10:00 | nioEventLoopGroup-3-2 | DEBUG | WaitForPeerTask | Finished waiting for peer connection.
2022-01-26 08:20:30.495+10:00 | nioEventLoopGroup-3-2 | INFO  | FullSyncTargetManager | No sync target, waiting for peers: 2
2022-01-26 08:20:30.495+10:00 | nioEventLoopGroup-3-2 | DEBUG | WaitForPeerTask | Waiting for new peer connection. 2 peers currently connected.
2022-01-26 08:20:30.500+10:00 | nioEventLoopGroup-3-2 | DEBUG | AbstractGetHeadersFromPeerTask | Received 1 of 1 headers requested from peer Peer 0x0b384cd0f14a487b11...
